Timestamp, Temperature (C), Humidity
"Dec 06, 2017 01:33:24 PM",-0.5,16.5
"Dec 06, 2017 01:28:52 PM",0.9,17.6
"Dec 06, 2017 01:23:47 PM",2.2,16.1
"Dec 06, 2017 01:23:18 PM",2.1,16.1
"Dec 06, 2017 01:18:17 PM",1.1,16.0
"Dec 06, 2017 01:13:25 PM",-0.9,16.1
"Dec 06, 2017 01:08:08 PM",-0.8,16.0
"Dec 06, 2017 01:03:10 PM",-0.2,16.4
"Dec 06, 2017 12:58:20 PM",1.3,18.0
"Dec 06, 2017 12:56:19 PM",2.5,16.6
"Dec 06, 2017 12:48:07 PM",1.1,16.0
"Dec 06, 2017 12:47:03 PM",0.8,15.9
"Dec 06, 2017 12:33:38 PM",-0.4,16.4
"Dec 06, 2017 12:24:23 PM",2.3,16.3
"Dec 06, 2017 12:23:53 PM",2.3,16.3
"Dec 06, 2017 12:23:14 PM",2.1,16.2
"Dec 06, 2017 12:21:22 PM",1.8,16.1
"Dec 06, 2017 12:18:16 PM",1.1,16.1
"Dec 06, 2017 12:16:25 PM",0.6,16.0
"Dec 06, 2017 12:11:36 PM",-1.4,16.1
"Dec 06, 2017 12:03:13 PM",-0.3,16.6
"Dec 06, 2017 11:58:20 AM",1.5,18.4
"Dec 06, 2017 11:53:36 AM",2.1,16.3
"Dec 06, 2017 11:48:42 AM",1.1,16.1
"Dec 06, 2017 11:43:22 AM",-0.9,16.2
"Dec 06, 2017 11:38:17 AM",-0.9,16.3
"Dec 06, 2017 11:33:31 AM",0.0,16.6
"Dec 06, 2017 11:28:22 AM",2.0,18.0
"Dec 06, 2017 11:23:29 AM",2.0,16.3
"Dec 06, 2017 11:18:21 AM",0.8,16.1
"Dec 06, 2017 11:13:36 AM",-1.1,16.1
"Dec 06, 2017 11:08:20 AM",-0.8,16.3
"Dec 06, 2017 11:03:27 AM",0.1,16.9
"Dec 06, 2017 10:58:19 AM",2.3,17.6
"Dec 06, 2017 10:53:41 AM",1.9,16.4
"Dec 06, 2017 10:48:26 AM",0.6,16.2
"Dec 06, 2017 10:43:27 AM",-1.2,16.2
"Dec 06, 2017 10:39:21 AM",-0.8,16.4
"Dec 06, 2017 10:24:16 AM",1.9,16.5
"Dec 06, 2017 10:20:15 AM",1.0,16.4
"Dec 06, 2017 10:11:42 AM",-1.1,16.4
"Dec 06, 2017 10:03:29 AM",0.3,17.4
"Dec 06, 2017 10:01:45 AM",0.9,18.1
"Dec 06, 2017 09:53:32 AM",1.6,16.6
"Dec 06, 2017 09:48:28 AM",0.3,16.5
"Dec 06, 2017 09:43:44 AM",-1.3,16.4
"Dec 06, 2017 09:40:42 AM",-1.1,16.7
"Dec 06, 2017 09:40:01 AM",-1.2,16.6
"Dec 06, 2017 09:37:20 AM",-0.7,16.8
"Dec 06, 2017 09:36:32 AM",-0.6,16.8
"Dec 06, 2017 09:33:28 AM",0.3,17.3
"Dec 06, 2017 09:32:52 AM",0.4,17.5
"Dec 06, 2017 09:32:13 AM",0.7,17.8
"Dec 06, 2017 09:23:36 AM",1.8,16.9
"Dec 06, 2017 09:21:56 AM",1.4,16.7
"Dec 06, 2017 09:16:30 AM",-0.3,16.7
"Dec 06, 2017 09:11:39 AM",-1.2,16.7
"Dec 06, 2017 09:03:49 AM",0.0,17.3
"Dec 06, 2017 08:53:42 AM",1.9,17.2
