Timestamp, Temperature (C), Humidity
"Dec 02, 2017 01:46:57 PM",7.5,1.4
"Dec 02, 2017 01:41:54 PM",6.7,1.4
"Dec 02, 2017 01:37:00 PM",6,1.4
"Dec 02, 2017 01:31:53 PM",5.8,1.4
"Dec 02, 2017 01:27:02 PM",6.2,1.4
"Dec 02, 2017 01:22:05 PM",6.6,1.4
"Dec 02, 2017 01:16:58 PM",7.1,1.4
"Dec 02, 2017 01:12:00 PM",7.7,1.4
"Dec 02, 2017 01:06:58 PM",8.4,1.4
"Dec 02, 2017 01:02:02 PM",9,1.4
"Dec 02, 2017 12:57:07 PM",8.9,1.4
"Dec 02, 2017 12:52:07 PM",8.5,1.4
"Dec 02, 2017 12:47:01 PM",8,1.4
"Dec 02, 2017 12:42:06 PM",7.4,1.4
"Dec 02, 2017 12:37:05 PM",6.7,1.4
"Dec 02, 2017 12:32:07 PM",6,1.4
"Dec 02, 2017 12:27:11 PM",5.6,1.4
"Dec 02, 2017 12:22:02 PM",5.9,1.4
"Dec 02, 2017 12:17:11 PM",6.3,1.4
"Dec 02, 2017 12:12:13 PM",6.7,1.4
"Dec 02, 2017 12:07:15 PM",7.3,1.4
"Dec 02, 2017 12:02:13 PM",7.9,1.4
"Dec 02, 2017 11:57:06 AM",8.6,1.4
"Dec 02, 2017 11:52:12 AM",9.2,1.4
"Dec 02, 2017 11:47:31 AM",8.7,1.4
"Dec 02, 2017 11:42:09 AM",8.2,1.4
"Dec 02, 2017 11:37:10 AM",7.7,1.4
"Dec 02, 2017 11:32:14 AM",7.1,1.4
"Dec 02, 2017 11:27:12 AM",6.4,1.4
"Dec 02, 2017 11:22:15 AM",5.7,1.4
"Dec 02, 2017 11:17:20 AM",5.8,1.4
"Dec 02, 2017 11:12:19 AM",6.1,1.4
"Dec 02, 2017 11:07:15 AM",6.6,1.4
"Dec 02, 2017 11:02:19 AM",7.1,1.4
"Dec 02, 2017 10:57:23 AM",7.7,1.4
"Dec 02, 2017 10:52:22 AM",8.5,1.4
"Dec 02, 2017 10:47:15 AM",9.1,1.4
"Dec 02, 2017 10:42:19 AM",8.7,1.4
"Dec 02, 2017 10:37:18 AM",8.2,1.4
"Dec 02, 2017 10:32:21 AM",7.8,1.4
"Dec 02, 2017 10:27:24 AM",7.2,1.4
"Dec 02, 2017 10:22:33 AM",6.6,1.4
"Dec 02, 2017 10:17:23 AM",5.9,1.4
"Dec 02, 2017 10:12:26 AM",5.9,1.4
"Dec 02, 2017 10:07:29 AM",6.3,1.4
"Dec 02, 2017 10:02:20 AM",6.8,1.4
"Dec 02, 2017 09:57:21 AM",7.4,1.4
"Dec 02, 2017 09:52:27 AM",8.1,1.4
"Dec 02, 2017 09:47:26 AM",8.8,1.4
"Dec 02, 2017 09:42:30 AM",8.8,1.4
"Dec 02, 2017 09:37:23 AM",8.3,1.4
"Dec 02, 2017 09:32:29 AM",7.9,1.4
