Timestamp, Temperature (C), Humidity
2017-12-02 13:53:26,26.8,49.7
2017-12-02 13:48:27,26.8,49.6
2017-12-02 13:43:31,26.9,49.6
2017-12-02 13:38:31,26.9,49.5
2017-12-02 13:33:32,26.8,49.5
2017-12-02 13:28:37,26.8,49.7
2017-12-02 13:23:32,26.8,49.7
2017-12-02 13:18:31,26.8,49.9
2017-12-02 13:13:33,26.8,50
2017-12-02 13:08:36,26.8,49.8
2017-12-02 13:03:34,26.8,49.8
2017-12-02 12:58:36,26.7,49.9
2017-12-02 12:53:32,26.7,49.9
2017-12-02 12:48:43,26.7,49.7
2017-12-02 12:43:42,26.7,49.8
2017-12-02 12:38:37,26.7,49.9
2017-12-02 12:33:38,26.6,49.9
2017-12-02 12:28:39,26.6,49.9
2017-12-02 12:23:39,26.6,50.2
2017-12-02 12:18:43,26.6,50.2
2017-12-02 12:13:46,26.6,50.2
2017-12-02 12:08:47,26.6,50.2
2017-12-02 12:03:59,26.6,50.2
2017-12-02 11:58:47,26.5,50.4
2017-12-02 11:53:49,26.4,50.6
2017-12-02 11:48:42,26.4,50.6
2017-12-02 11:43:47,26.4,50.6
2017-12-02 11:38:48,26.4,50.5
2017-12-02 11:33:45,26.4,50.4
2017-12-02 11:29:07,26.4,50.2
2017-12-02 11:23:44,26.4,50.2
2017-12-02 11:18:45,26.3,50.2
2017-12-02 11:13:58,26.4,50.1
2017-12-02 11:08:59,26.4,50.2
2017-12-02 11:03:52,26.2,50.5
2017-12-02 10:58:52,26.2,50.4
2017-12-02 10:53:55,26.2,50.5
2017-12-02 10:48:55,26.1,50.8
2017-12-02 10:43:57,26.1,50.9
2017-12-02 10:38:50,26.1,51
2017-12-02 10:33:58,26,51
2017-12-02 10:29:02,26,50.9
2017-12-02 10:23:54,26,50.6
2017-12-02 10:18:55,26,50.7
2017-12-02 10:13:59,26,50.6
2017-12-02 10:08:53,25.9,50.3
2017-12-02 10:03:55,25.9,50.2
2017-12-02 09:59:03,25.9,50.2
2017-12-02 09:53:58,25.9,50.2
2017-12-02 09:49:01,25.9,50.6
