Timestamp, Temperature (C), Humidity
"Dec 02, 2017 01:53:26 PM",26.8,49.7
"Dec 02, 2017 01:48:27 PM",26.8,49.6
"Dec 02, 2017 01:43:31 PM",26.9,49.6
"Dec 02, 2017 01:38:31 PM",26.9,49.5
"Dec 02, 2017 01:33:32 PM",26.8,49.5
"Dec 02, 2017 01:28:37 PM",26.8,49.7
"Dec 02, 2017 01:23:32 PM",26.8,49.7
"Dec 02, 2017 01:18:31 PM",26.8,49.9
"Dec 02, 2017 01:13:33 PM",26.8,50
"Dec 02, 2017 01:08:36 PM",26.8,49.8
"Dec 02, 2017 01:03:34 PM",26.8,49.8
"Dec 02, 2017 12:58:36 PM",26.7,49.9
"Dec 02, 2017 12:53:32 PM",26.7,49.9
"Dec 02, 2017 12:48:43 PM",26.7,49.7
"Dec 02, 2017 12:43:42 PM",26.7,49.8
"Dec 02, 2017 12:38:37 PM",26.7,49.9
"Dec 02, 2017 12:33:38 PM",26.6,49.9
"Dec 02, 2017 12:28:39 PM",26.6,49.9
"Dec 02, 2017 12:23:39 PM",26.6,50.2
"Dec 02, 2017 12:18:43 PM",26.6,50.2
"Dec 02, 2017 12:13:46 PM",26.6,50.2
"Dec 02, 2017 12:08:47 PM",26.6,50.2
"Dec 02, 2017 12:03:59 PM",26.6,50.2
"Dec 02, 2017 11:58:47 AM",26.5,50.4
"Dec 02, 2017 11:53:49 AM",26.4,50.6
"Dec 02, 2017 11:48:42 AM",26.4,50.6
"Dec 02, 2017 11:43:47 AM",26.4,50.6
"Dec 02, 2017 11:38:48 AM",26.4,50.5
"Dec 02, 2017 11:33:45 AM",26.4,50.4
"Dec 02, 2017 11:29:07 AM",26.4,50.2
"Dec 02, 2017 11:23:44 AM",26.4,50.2
"Dec 02, 2017 11:18:45 AM",26.3,50.2
"Dec 02, 2017 11:13:58 AM",26.4,50.1
"Dec 02, 2017 11:08:59 AM",26.4,50.2
"Dec 02, 2017 11:03:52 AM",26.2,50.5
"Dec 02, 2017 10:58:52 AM",26.2,50.4
"Dec 02, 2017 10:53:55 AM",26.2,50.5
"Dec 02, 2017 10:48:55 AM",26.1,50.8
"Dec 02, 2017 10:43:57 AM",26.1,50.9
"Dec 02, 2017 10:38:50 AM",26.1,51
"Dec 02, 2017 10:33:58 AM",26,51
"Dec 02, 2017 10:29:02 AM",26,50.9
"Dec 02, 2017 10:23:54 AM",26,50.6
