Timestamp, Temperature (C), Humidity
"Dec 06, 2017 01:31:33 PM",25.9,49.0
"Dec 06, 2017 01:26:33 PM",26.0,48.9
"Dec 06, 2017 01:22:26 PM",25.9,48.3
"Dec 06, 2017 01:18:26 PM",25.9,47.3
"Dec 06, 2017 01:14:54 PM",26.1,47.8
"Dec 06, 2017 01:08:08 PM",26.0,49.2
"Dec 06, 2017 01:07:34 PM",26.0,49.1
"Dec 06, 2017 01:06:58 PM",26.1,48.6
"Dec 06, 2017 01:01:54 PM",25.8,48.3
"Dec 06, 2017 12:57:24 PM",25.9,47.8
"Dec 06, 2017 12:51:38 PM",26.1,48.9
"Dec 06, 2017 12:46:42 PM",26.2,47.5
"Dec 06, 2017 12:42:06 PM",26.4,46.0
"Dec 06, 2017 12:38:50 PM",26.6,47.1
"Dec 06, 2017 12:26:50 PM",26.2,47.9
"Dec 06, 2017 12:24:47 PM",26.4,48.3
"Dec 06, 2017 12:16:43 PM",25.9,48.4
"Dec 06, 2017 12:14:41 PM",25.9,47.7
"Dec 06, 2017 12:06:50 PM",25.8,49.2
"Dec 06, 2017 12:02:04 PM",25.7,49.3
"Dec 06, 2017 11:46:45 AM",25.9,47.8
"Dec 06, 2017 11:45:56 AM",25.9,47.6
"Dec 06, 2017 11:45:26 AM",25.8,47.5
"Dec 06, 2017 11:32:02 AM",25.6,49.6
"Dec 06, 2017 11:30:20 AM",25.6,49.7
"Dec 06, 2017 11:25:12 AM",25.6,49.8
"Dec 06, 2017 11:23:33 AM",25.6,49.5
"Dec 06, 2017 11:20:54 AM",25.7,49.2
"Dec 06, 2017 11:15:09 AM",26.0,47.2
"Dec 06, 2017 11:12:54 AM",26.2,47.4
"Dec 06, 2017 11:12:15 AM",26.3,47.5
"Dec 06, 2017 11:08:19 AM",26.0,49.3
"Dec 06, 2017 11:07:38 AM",26.0,49.5
"Dec 06, 2017 11:07:03 AM",25.9,49.3
"Dec 06, 2017 11:02:30 AM",25.8,49.5
"Dec 06, 2017 11:01:51 AM",25.8,49.4
"Dec 06, 2017 10:57:00 AM",25.9,48.8
